_id,timestamp,device_id,battery_start,battery_end,double_end_timestamp
9,1499756525862,0c735596-1a1c-4a35-bb02-55d90c4f86ac,20,30,1499758307211
10,1499758313285,0c735596-1a1c-4a35-bb02-55d90c4f86ac,30,55,1499760725311
11,1499761478380,0c735596-1a1c-4a35-bb02-55d90c4f86ac,50,100,1499776534881
12,1499779433153,0c735596-1a1c-4a35-bb02-55d90c4f86ac,77,100,1499810424721
13,1499820585123,0c735596-1a1c-4a35-bb02-55d90c4f86ac,65,100,1499826384695
14,1499826786824,0c735596-1a1c-4a35-bb02-55d90c4f86ac,95,100,1499830309449
15,1499833936684,0c735596-1a1c-4a35-bb02-55d90c4f86ac,63,66,1499834323083
16,1499835063731,0c735596-1a1c-4a35-bb02-55d90c4f86ac,63,100,1499839986799
20,1499837442332,08da45e3-bc56-4425-bad2-55d191676b79,51,100,1499858930854
17,1499840422044,0c735596-1a1c-4a35-bb02-55d90c4f86ac,97,100,1499842587301
18,1499843176534,0c735596-1a1c-4a35-bb02-55d90c4f86ac,91,100,1499853734772
21,1499859055257,08da45e3-bc56-4425-bad2-55d191676b79,99,100,1499859313840
19,1499896403509,0c735596-1a1c-4a35-bb02-55d90c4f86ac,89,100,1499900411068
22,1499906546131,08da45e3-bc56-4425-bad2-55d191676b79,3,9,1499906945217
23,1499906962591,08da45e3-bc56-4425-bad2-55d191676b79,9,25,1499907887959
39,1499907582840,0c735596-1a1c-4a35-bb02-55d90c4f86ac,78,100,1499925691458
24,1499907894282,08da45e3-bc56-4425-bad2-55d191676b79,25,57,1499910876314
25,1499910876583,08da45e3-bc56-4425-bad2-55d191676b79,57,72,1499913359922
26,1499913431255,08da45e3-bc56-4425-bad2-55d191676b79,71,71,1499913545715
27,1499913547243,08da45e3-bc56-4425-bad2-55d191676b79,71,71,1499913576780
28,1499913577852,08da45e3-bc56-4425-bad2-55d191676b79,71,71,1499913640805
29,1499913641710,08da45e3-bc56-4425-bad2-55d191676b79,71,71,1499913896548
30,1499913951050,08da45e3-bc56-4425-bad2-55d191676b79,70,70,1499913955074
548,1499914785103,815717e9-cd15-4d4e-b35c-a0206bc0aa24,35,100,1499934069887
40,1499931582826,0c735596-1a1c-4a35-bb02-55d90c4f86ac,93,100,1499932645660
485,1499932146451,53f52117-1170-4972-af68-8ecbe2132e72,47,100,1499944411459
549,1499934072252,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499934073018
550,1499934073889,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499934073978
551,1499934074380,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499934075852
552,1499934076299,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499936412127
41,1499934617903,0c735596-1a1c-4a35-bb02-55d90c4f86ac,95,100,1499935548137
42,1499936183855,0c735596-1a1c-4a35-bb02-55d90c4f86ac,91,100,1499940363275
553,1499936414946,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499937358099
554,1499937359816,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499937362981
555,1499937371464,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499937373788
556,1499937373878,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499937397392
557,1499937397620,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1499940609294
31,1499948214564,08da45e3-bc56-4425-bad2-55d191676b79,7,7,1499948215110
32,1499948217980,08da45e3-bc56-4425-bad2-55d191676b79,7,7,1499948226428
33,1499948230814,08da45e3-bc56-4425-bad2-55d191676b79,7,24,1499949565752
34,1499949609405,08da45e3-bc56-4425-bad2-55d191676b79,23,62,1499953474473
43,1499953644931,0c735596-1a1c-4a35-bb02-55d90c4f86ac,73,97,1499983210298
35,1499965803827,08da45e3-bc56-4425-bad2-55d191676b79,21,90,1499972950694
36,1499978605270,08da45e3-bc56-4425-bad2-55d191676b79,54,96,1499983308766
558,1499980980347,815717e9-cd15-4d4e-b35c-a0206bc0aa24,36,55,1499983163654
559,1499983164027,815717e9-cd15-4d4e-b35c-a0206bc0aa24,55,55,1499983164663
560,1499983166144,815717e9-cd15-4d4e-b35c-a0206bc0aa24,55,55,1499983236595
561,1499983239837,815717e9-cd15-4d4e-b35c-a0206bc0aa24,55,57,1499983427589
562,1499983427819,815717e9-cd15-4d4e-b35c-a0206bc0aa24,57,64,1499984068521
563,1499984082055,815717e9-cd15-4d4e-b35c-a0206bc0aa24,64,65,1499984169481
564,1499984169812,815717e9-cd15-4d4e-b35c-a0206bc0aa24,65,73,1499985226067
565,1499985226183,815717e9-cd15-4d4e-b35c-a0206bc0aa24,73,73,1499985226218
566,1499985228795,815717e9-cd15-4d4e-b35c-a0206bc0aa24,73,74,1499985469682
44,1499993531521,0c735596-1a1c-4a35-bb02-55d90c4f86ac,57,89,1499995986547
92,1499993718750,94311892-eecf-4de6-b127-2639da1764a7,24,24,1499993720509
93,1499993723048,94311892-eecf-4de6-b127-2639da1764a7,24,24,1499993723367
94,1499993725320,94311892-eecf-4de6-b127-2639da1764a7,24,24,1499993731353
95,1499993746885,94311892-eecf-4de6-b127-2639da1764a7,24,25,1499993880117
96,1499993880213,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993888027
97,1499993892035,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993892184
98,1499993892222,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993892767
99,1499993893960,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993894706
100,1499993896717,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993898316
101,1499993900549,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993901479
102,1499993902498,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993903290
103,1499993904448,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993906536
104,1499993913118,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993918228
105,1499993929410,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993939166
106,1499993940271,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993941145
107,1499993941953,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993942702
108,1499993944741,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993953825
109,1499993954731,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993958910
110,1499993959951,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993962990
111,1499993966009,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993967760
112,1499993968893,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993969761
113,1499993970860,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993986173
114,1499993987874,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993988728
115,1499993989814,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993991766
116,1499993993749,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993994559
117,1499993995865,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499993996535
118,1499993997659,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994004725
119,1499994004818,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994005254
120,1499994007170,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994013900
121,1499994024354,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994024912
122,1499994026074,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994026914
123,1499994028070,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994028845
124,1499994029969,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994034259
125,1499994037399,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994041656
126,1499994063591,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994064399
127,1499994066818,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994067603
128,1499994068528,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994070329
129,1499994072252,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994073102
130,1499994083104,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994087330
131,1499994101953,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994102803
132,1499994104827,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994110738
133,1499994111877,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994119425
134,1499994119902,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994120581
135,1499994121776,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994123418
136,1499994135448,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994137288
137,1499994138496,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994146370
138,1499994147554,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994151551
139,1499994152764,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994153596
140,1499994161818,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994162604
141,1499994163802,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994165693
142,1499994167694,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994168574
143,1499994169722,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994170548
144,1499994171659,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994172471
145,1499994173587,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994174468
146,1499994176474,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994178113
147,1499994181463,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994182253
148,1499994184276,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994185093
149,1499994186163,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994187031
150,1499994188209,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994189008
151,1499994190136,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994190944
152,1499994192124,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994192921
153,1499994194069,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994194918
154,1499994197356,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994198756
155,1499994199930,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994200800
156,1499994201942,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994202750
157,1499994203870,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994204704
158,1499994205835,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994206619
159,1499994207793,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994208698
160,1499994209766,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994210527
161,1499994211705,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994221055
162,1499994221358,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994222165
163,1499994230022,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994230823
164,1499994233035,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994233857
165,1499994235056,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994235854
166,1499994236938,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994246385
167,1499994246658,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994259282
168,1499994259525,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994261163
169,1499994262293,94311892-eecf-4de6-b127-2639da1764a7,25,25,1499994267460
170,1499994272923,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994274538
171,1499994274867,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994277519
172,1499994278655,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994279513
173,1499994280724,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994284102
174,1499994293041,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994293863
175,1499994295066,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994295880
176,1499994297044,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994297845
177,1499994298954,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994299765
178,1499994301752,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994302569
179,1499994303730,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994306261
180,1499994308528,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994312825
181,1499994317871,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994320819
182,1499994321979,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994327064
183,1499994328258,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994354758
184,1499994355942,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994356754
185,1499994357902,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994358758
186,1499994359902,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994360729
187,1499994361827,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994364306
188,1499994366675,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994367485
189,1499994368652,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994369431
190,1499994370552,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994377426
191,1499994379672,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994384832
192,1499994418663,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994420380
193,1499994420934,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994426310
194,1499994427525,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994436320
195,1499994437494,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994438342
196,1499994439454,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994440309
197,1499994441429,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994442258
198,1499994443383,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994444213
199,1499994445388,94311892-eecf-4de6-b127-2639da1764a7,26,26,1499994495981
200,1499994497198,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994508898
201,1499994510023,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994510892
202,1499994531331,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994532182
203,1499994533230,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994535766
204,1499994538012,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994538860
205,1499994539968,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994540776
206,1499994541930,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994547294
207,1499994549262,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994550065
208,1499994551217,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994555455
209,1499994557752,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994558582
210,1499994560795,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994563328
211,1499994563644,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994564369
212,1499994565558,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994566353
213,1499994567478,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994568332
214,1499994569455,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994571299
215,1499994572531,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994573341
216,1499994574480,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994575225
217,1499994576408,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994577290
218,1499994578406,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994581768
219,1499994584834,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994585621
220,1499994586763,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994592717
221,1499994594987,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994597566
222,1499994600896,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994601747
223,1499994602835,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994603648
224,1499994605678,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994606469
225,1499994607629,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994608426
226,1499994616268,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994617079
227,1499994619299,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994628723
228,1499994647688,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994648435
229,1499994649671,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994650388
230,1499994651550,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994652414
231,1499994653598,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994658600
232,1499994660770,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994661641
233,1499994662766,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994666825
234,1499994668036,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994669899
235,1499994671076,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994671953
236,1499994673010,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994673878
237,1499994674959,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994675764
238,1499994676930,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994678611
239,1499994680849,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994681705
240,1499994683706,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994684481
241,1499994685658,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994686427
242,1499994687620,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994688415
243,1499994696230,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994697072
244,1499994698177,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994703321
245,1499994705543,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994706380
246,1499994707540,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994708406
247,1499994709538,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994720926
248,1499994721296,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994722205
249,1499994723908,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994724662
250,1499994725837,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994726639
251,1499994727774,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994728596
252,1499994798835,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994801318
253,1499994801682,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994804974
254,1499994808319,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994809097
255,1499994810282,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994825730
256,1499994827963,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994828805
257,1499994830827,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994831651
258,1499994833259,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994833947
259,1499994834712,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994839829
260,1499994842174,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994846835
261,1499994847868,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994857498
262,1499994858669,94311892-eecf-4de6-b127-2639da1764a7,27,27,1499994868921
263,1499995244641,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995258131
264,1499995259198,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995260007
265,1499995261185,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995262015
266,1499995263350,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995264001
267,1499995265181,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995266030
268,1499995267094,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995267918
269,1499995269119,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995269917
270,1499995271114,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995271909
271,1499995272990,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995280746
272,1499995288220,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995291497
273,1499995291807,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995299044
274,1499995300274,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995301077
275,1499995302237,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995303032
276,1499995304188,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995305089
277,1499995306162,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995306959
278,1499995308144,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995309787
279,1499995313159,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995314062
280,1499995315190,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995321068
281,1499995322317,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995324163
282,1499995325349,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995326136
283,1499995327329,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995328076
284,1499995330125,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995330886
285,1499995332174,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995332875
286,1499995334042,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995360620
287,1499995360977,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995361690
288,1499995362815,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995374979
289,1499995377255,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995378022
290,1499995379124,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995380841
291,1499995384234,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995385063
292,1499995386101,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995386926
293,1499995388125,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995388906
294,1499995390065,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995390892
295,1499995392882,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995393696
296,1499995394876,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995395701
297,1499995396871,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995397660
298,1499995399465,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995399791
299,1499995400793,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995403485
300,1499995409822,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995416107
301,1499995416374,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995432579
302,1499995433744,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995434539
303,1499995435743,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995443991
304,1499995444342,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995446116
305,1499995447298,94311892-eecf-4de6-b127-2639da1764a7,28,28,1499995448099
306,1499995449247,94311892-eecf-4de6-b127-2639da1764a7,28,33,1499995924338
307,1499995925533,94311892-eecf-4de6-b127-2639da1764a7,33,33,1499995926355
308,1499995927514,94311892-eecf-4de6-b127-2639da1764a7,33,33,1499995929146
45,1499997072862,0c735596-1a1c-4a35-bb02-55d90c4f86ac,75,100,1500002657813
309,1499997168547,94311892-eecf-4de6-b127-2639da1764a7,32,84,1500002438514
37,1499998658076,08da45e3-bc56-4425-bad2-55d191676b79,52,58,1499998967142
879,1499999259179,259cc994-877a-4e94-bb4a-06b44c30be47,20,72,1500001242922
38,1499999753384,08da45e3-bc56-4425-bad2-55d191676b79,49,100,1500023498656
880,1500001565143,259cc994-877a-4e94-bb4a-06b44c30be47,70,100,1500004037899
567,1500001575587,815717e9-cd15-4d4e-b35c-a0206bc0aa24,53,100,1500023964282
1151,1500002245312,d58c3cb9-2543-4258-8695-ac3e310ba3ac,5,100,1500023755828
46,1500006851621,0c735596-1a1c-4a35-bb02-55d90c4f86ac,78,100,1500020703865
881,1500015952965,259cc994-877a-4e94-bb4a-06b44c30be47,78,96,1500017072405
47,1500022176475,0c735596-1a1c-4a35-bb02-55d90c4f86ac,82,100,1500026485583
568,1500023964402,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1500023965608
1152,1500026309370,d58c3cb9-2543-4258-8695-ac3e310ba3ac,92,100,1500028121331
569,1500027573707,815717e9-cd15-4d4e-b35c-a0206bc0aa24,99,99,1500027573902
570,1500027573996,815717e9-cd15-4d4e-b35c-a0206bc0aa24,99,99,1500027574571
486,1500029350325,53f52117-1170-4972-af68-8ecbe2132e72,14,100,1500041416242
882,1500034165573,259cc994-877a-4e94-bb4a-06b44c30be47,28,100,1500039235299
48,1500038155629,0c735596-1a1c-4a35-bb02-55d90c4f86ac,67,67,1500038226118
49,1500038724505,0c735596-1a1c-4a35-bb02-55d90c4f86ac,61,61,1500039736893
487,1500041416476,53f52117-1170-4972-af68-8ecbe2132e72,100,100,1500043445137
50,1500042768090,0c735596-1a1c-4a35-bb02-55d90c4f86ac,34,100,1500078399393
488,1500043445546,53f52117-1170-4972-af68-8ecbe2132e72,100,100,1500045202720
489,1500045204076,53f52117-1170-4972-af68-8ecbe2132e72,100,36,1500385395713
310,1500054495269,94311892-eecf-4de6-b127-2639da1764a7,7,28,1500056641140
311,1500056642216,94311892-eecf-4de6-b127-2639da1764a7,28,61,1500060314891
312,1500060315923,94311892-eecf-4de6-b127-2639da1764a7,61,87,1500063137404
313,1500063138559,94311892-eecf-4de6-b127-2639da1764a7,87,87,1500063139407
314,1500063172574,94311892-eecf-4de6-b127-2639da1764a7,87,95,1500064522355
315,1500064522819,94311892-eecf-4de6-b127-2639da1764a7,95,95,1500064524671
316,1500064545839,94311892-eecf-4de6-b127-2639da1764a7,95,95,1500064546796
317,1500064574685,94311892-eecf-4de6-b127-2639da1764a7,95,95,1500064575642
318,1500064578990,94311892-eecf-4de6-b127-2639da1764a7,95,100,1500065169987
319,1500065170173,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065173729
320,1500065176181,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065289233
321,1500065290125,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065293756
322,1500065345432,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065356557
323,1500065395941,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065397770
324,1500065432616,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065433613
325,1500065435861,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065436654
326,1500065437889,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065438549
327,1500065439471,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065440461
328,1500065441475,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065447669
329,1500065449785,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065451584
330,1500065453668,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065454656
331,1500065455652,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065458301
332,1500065469927,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065889164
333,1500065890105,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065892808
334,1500065905644,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065906367
335,1500065907658,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065908774
336,1500065909318,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065910259
337,1500065962470,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500065966055
338,1500065973119,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500066050264
339,1500066051569,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500066383502
340,1500066384394,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500066501872
341,1500066503178,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500066509015
342,1500066572210,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500066573276
343,1500066587841,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500066588483
344,1500066598120,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500066600815
345,1500066613372,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500066622964
346,1500066623955,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500066626651
347,1500066656017,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500066757373
348,1500066758671,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500066760228
349,1500066764243,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500066766085
